ID,Name,Age,Email,Score
1,null,51,user0#notanemail,4.28
2,kftsQID,52,user1@test.org,60.86
3,none,32,not_an_email,NA
4,EfLtRCj,50,null,44.92
5,LUfVzhq,29,not_an_email,78.49
6,ADPSlBS,51,not_an_email,54.4
7,,99,user6@test.org,6.98
8,yRmjlMx,0,not_an_email,94.21
9,tTJZszt,38,user8@test.org,50.96
10,LovYpZU,20,user9@mail.net,63.26
11,hiTUSMB,42,user10@mail.net,-15
12,FtKOCGm,21,user11@test.org,90.95
13,hqdazNb,60,user12@test.org,28.67
14,null,51,user13@example.com,69.8
15,aBpRLGZ,59,user14@mail.net,38.52
16,YvbsxgZ,44,user15#notanemail,91.44
16,YvbsxgZ,44,user15#notanemail,91.44
17,MTNdvqU,33,user16@example.com,52.4
18,USiDaZO,37,user17@mail.net,24.26
19,CjZcSaT,63,user18@test.org,46.95
20,aTONUif,NA,user19#notanemail,NaN
21,WcckoFr,19,user20@test.org,18.94
22,tAoGIPp,29,user21@example.com,30.77
23,drhJCyc,57,user22@mail.net,75.85
24,foGTpBa,47,user23@example.com,40.33
25,12345,null,user24@test.org,13.03
26,LKWdBTR,53,user25@example.com,6.01
27,zqLsdpB,48,user26@example.com,5.3
28,NrDEOXR,999,user27@test.org,null
29,NFqskcm,27,user28@test.org,91.06
30,VTnNYWW,26,user29@mail.net,28.66
31,pdUpoFj,34,user30@mail.net,-15
31,pdUpoFj,34,user30@mail.net,-15
32,XrBqFfP,28,user31@test.org,1.06
33,null,31,user32@test.org,46.19
34,wSwaCZo,41,user33@example.com,19.73
35,YOMtxxz,49,user34@mail.net,36.01
36,uTsOcRH,22,user35@example.com,abc
37,UgzhfQN,48,user36@test.org,1000
38,NaN,25,not_an_email,none
39,JLyxETw,44,user38#notanemail,23.33
40,zIwQPxP,52,user39@mail.net,none
41,gvxGMMS,46,user40#notanemail,
42,xbHOwlW,44,user41@test.org,33.88
43,TMHQnHk,52,user42@mail.net,47.32
44,GDaRDoB,40,user43@test.org,5.23
45,KiqajQS,46,user44@mail.net,67.07
46,vaQlzXK,23,NaN,55.06
47,EYvpvHd,,user46#notanemail,39.47
48,ZyeYouD,46,user47#notanemail,15.67
49,etRvGDf,21,user48@test.org,null
50,VfPBndx,,,35.74
51,uEXGigi,24,user50@mail.net,43.94
52,12345,61,user51@mail.net,88.19
53,UIOTriA,42,user52@mail.net,2.38
54,gYbpFgt,40,user53@test.org,21.31
55,dMTyfsQ,31,user54@mail.net,55.13
56,cWPWsNP,58,user55@mail.net,81.04
57,wATZayk,26,user56@example.com,43.03
58,RZyZXbl,999,user57@mail.net,29.18
59,DQdRSZo,48,user58@example.com,92.08
60,PHhIMXe,39,user59@mail.net,74.02
61,nECopEB,28,user60@example.com,35.65
62,RWhSFrY,NaN,user61@test.org,59.28
63,zbfDCkf,59,user62@example.com,65.16
64,RhnIPhQ,32,user63@example.com,6.04
65,JyfOIEt,44,user64@example.com,31.55
65,JyfOIEt,44,user64@example.com,31.55
66,XETWYIT,21,user65@example.com,63.02
67,IEdKsHW,37,user66@test.org,66.84
68,nyfchQg,22,user67@test.org,87.27
69,IpwAktj,54,user68@mail.net,4.14
70,HnYZIMl,23,user69@mail.net,42.55
71,LsOPWIv,24,user70@example.com,84.87
72,xYwtMhl,25,user71@test.org,23.28
72,xYwtMhl,25,user71@test.org,23.28
73,bUszwKW,21,user72@example.com,19.25
74,XoYrpSR,44,user73@example.com,59.65
75,null,34,user74@example.com,47.12
75,null,34,user74@example.com,47.12
76,rVoVktt,37,not_an_email,36.45
77,,54,user76@example.com,43.63
78,TLCPwEa,35,user77@test.org,171.37
79,KpMlPGZ,59,user78@example.com,51.3
79,KpMlPGZ,59,user78@example.com,51.3
80,xOpiiCi,50,user79@mail.net,24.4
81,none,51,user80@mail.net,94.06
82,FnagFmx,0,user81@example.com,5.28
83,EjOEVDU,36,user82@test.org,none
84,FsKXCjR,32,user83@test.org,57.03
85,dJQwKUR,37,user84@example.com,56.66
86,ZzrhznC,,user85@test.org,34.21
87,jQhvMag,25,user86@example.com,9.31
88,UjlchcD,59,user87@example.com,82.39
89,12345,24,user88@test.org,17.61
90,VpmEvQN,27,user89@example.com,10.18
91,null,63,none,-15
92,eYkCbXC,51,user91@test.org,37.32
93,uHSQbQg,45,user92@example.com,32.23
94,dvTVzGq,25,user93@test.org,53.45
95,QYmrlzt,42,user94@test.org,25.59
95,QYmrlzt,42,user94@test.org,25.59
96,eKmZhmF,999,none,NA
97,lhBYvkv,48,user96@mail.net,
98,QGYHQyX,21,user97@mail.net,29.36
99,KcznwMd,20,user98@example.com,86.26
100,LYfmxDZ,49,NA,80.93
101,YsbBqiQ,NaN,user100@mail.net,49.42
102,sZsodcl,30,user101@test.org,1000
103,zfXzdIr,24,user102@example.com,1000
104,CIoAYKW,0,user103@test.org,49.91
105,YhuLQoU,20,user104@test.org,70.67
106,eQIhxAZ,20,user105@mail.net,48.55
107,12345,39,user106@mail.net,6.15
108,Iaseodj,61,user107@test.org,60.57
109,gbmdcAW,32,user108@test.org,-15
109,gbmdcAW,32,user108@test.org,-15
110,NA,56,user109@test.org,10.38
111,none,41,user110@test.org,75.98
112,bBdLBYa,44,user111@mail.net,47.08
113,NA,NaN,user112@test.org,52.81
114,HCJGnEo,999,user113@mail.net,73.36
115,12345,26,user114@example.com,79.25
116,twlPCvE,61,user115@example.com,28.79
117,FNiUwBg,37,user116@example.com,61.28
118,LvPSTRf,30,user117@test.org,47.55
119,WepIowc,64,user118@test.org,82.14
120,,39,user119@example.com,48.53
121,MspJHCl,36,user120@mail.net,99.29
